500 7

A	B	C	D	E	F	Class
x	au	m	s	p	p	c1
al	ai	i	ar	n	f	c4
au	ax	x	a	ah	b	c2
ag	d	q	i	c	b	c2
u	j	r	au	aj	l	c3
am	as	at	s	ar	l	c3
m	c	aw	f	o	l	c3
ao	at	am	p	f	p	c1
av	am	ai	n	as	c	c5
d	ac	m	h	p	b	c2
a	u	af	as	am	p	c1
an	b	av	i	d	p	c1
ae	u	v	aq	a	b	c2
r	c	h	as	ad	c	c5
v	r	h	k	m	l	c3
d	o	e	k	i	l	c3
ar	p	af	aj	l	f	c4
ag	z	y	r	d	c	c5
s	t	h	at	l	l	c3
b	aa	av	w	c	l	c3
aj	r	c	ac	g	c	c5
t	n	v	c	w	l	c3
n	ag	at	d	as	f	c4
m	o	as	c	ac	p	c1
aj	t	l	av	ah	f	c4
ak	j	ab	a	p	l	c3
x	z	f	au	an	f	c4
aw	am	at	ax	r	b	c2
av	f	n	ap	k	l	c3
s	ag	al	aj	a	p	c1
w	ar	ai	i	m	l	c3
av	p	p	q	s	c	c5
p	h	o	ab	e	c	c5
l	am	at	c	af	p	c1
e	ae	ad	ak	aw	p	c1
b	ar	p	ac	w	p	c1
t	v	z	ab	w	p	c1
ar	i	n	j	c	p	c1
ao	m	aj	c	aj	p	c1
av	h	ar	f	x	c	c5
r	at	aj	l	ae	p	c1
aq	j	k	i	as	p	c1
ad	d	u	av	t	b	c2
al	q	p	d	s	b	c2
n	ad	h	ar	ai	f	c4
s	aq	x	ag	z	f	c4
u	at	ab	s	af	p	c1
g	ah	p	aw	o	f	c4
l	v	b	t	ad	f	c4
o	s	n	ai	j	p	c1
ab	ad	ag	al	p	p	c1
aj	ak	ae	ae	ag	c	c5
j	j	af	al	r	b	c2
au	s	q	c	d	b	c2
p	p	ap	a	am	b	c2
p	v	ae	av	u	p	c1
ah	am	c	an	t	l	c3
w	n	z	l	e	f	c4
al	z	as	ag	ah	f	c4
aw	q	n	ak	an	l	c3
h	r	c	aw	k	p	c1
an	t	g	ac	j	c	c5
aj	as	ao	d	c	l	c3
ah	w	at	ao	ae	p	c1
ac	p	p	g	s	l	c3
aa	a	ai	s	aq	p	c1
af	ab	f	g	m	p	c1
g	ap	n	af	f	f	c4
ag	au	au	h	y	f	c4
ap	ax	l	aq	v	l	c3
ah	av	ax	v	k	c	c5
s	n	e	an	x	p	c1
u	ae	r	an	l	f	c4
an	ao	au	at	ax	b	c2
aq	ak	i	s	a	b	c2
aj	ai	am	b	k	p	c1
ak	e	h	x	a	l	c3
n	j	t	ar	a	b	c2
i	y	s	p	m	l	c3
m	r	ai	ad	o	p	c1
at	u	av	ar	w	f	c4
r	ae	e	e	z	c	c5
d	t	ap	n	n	b	c2
ad	x	ar	u	ag	p	c1
r	aa	ah	ai	v	c	c5
h	s	ao	ax	ad	b	c2
r	v	x	q	am	b	c2
k	q	ax	ax	d	p	c1
a	k	ab	s	as	c	c5
ad	ac	ar	ah	ae	c	c5
w	al	g	aj	al	c	c5
b	p	k	n	s	p	c1
y	ah	aw	an	j	l	c3
ax	aj	aj	an	o	p	c1
ah	am	z	an	ag	l	c3
ae	v	x	j	f	l	c3
o	s	ad	u	ag	p	c1
at	ac	h	d	am	p	c1
ae	o	y	ag	am	l	c3
ah	w	au	m	z	l	c3
ag	b	t	av	k	c	c5
j	ad	av	al	y	p	c1
x	aa	ac	ag	b	c	c5
ad	l	at	ad	k	p	c1
n	ak	ah	y	am	b	c2
an	as	o	as	ai	p	c1
y	au	am	aj	ar	l	c3
c	g	p	e	f	f	c4
ax	ah	ad	aq	t	f	c4
an	aa	z	aa	ar	l	c3
ad	n	o	s	ap	l	c3
h	au	al	z	s	b	c2
t	x	o	z	al	c	c5
f	as	r	n	aa	b	c2
ak	ae	h	n	ae	l	c3
ak	t	t	o	as	l	c3
r	at	ap	at	c	c	c5
an	l	x	f	y	c	c5
t	am	t	af	g	f	c4
d	w	w	s	aw	b	c2
ad	am	ad	ag	ac	l	c3
l	s	aj	ak	aa	f	c4
r	w	ak	as	ak	f	c4
c	s	q	ak	at	l	c3
w	aq	av	p	d	l	c3
ag	m	i	av	am	b	c2
r	h	z	ah	ab	l	c3
r	au	h	ax	aj	f	c4
l	u	t	ao	ai	p	c1
c	w	af	l	ap	c	c5
ai	ao	am	o	r	l	c3
au	i	aj	ai	l	c	c5
ar	al	c	ax	n	p	c1
z	aq	i	d	j	c	c5
j	h	p	h	z	f	c4
ai	z	l	v	i	l	c3
p	ae	k	ac	ag	c	c5
r	an	ai	af	x	b	c2
ab	t	e	ab	j	b	c2
ae	ad	ac	ai	v	c	c5
ad	m	f	k	ao	f	c4
av	ar	p	p	am	l	c3
ax	y	j	au	at	l	c3
k	n	h	ah	ar	c	c5
ap	av	af	h	ae	f	c4
d	c	ao	h	r	b	c2
v	k	f	d	aq	l	c3
y	ai	h	n	d	p	c1
ap	aj	f	c	av	b	c2
w	g	e	aj	aw	c	c5
n	s	g	p	av	c	c5
av	h	aq	i	j	f	c4
q	ag	y	z	d	f	c4
ad	ae	t	ak	l	p	c1
x	au	f	f	x	f	c4
k	l	au	ad	a	p	c1
j	ah	i	aa	m	c	c5
w	t	i	v	b	p	c1
y	o	ao	aa	j	b	c2
a	l	j	an	aj	p	c1
t	j	k	ao	aq	c	c5
j	av	ax	aj	n	b	c2
aj	r	t	a	at	b	c2
z	g	n	y	aj	c	c5
u	av	ag	al	l	p	c1
h	al	av	c	at	f	c4
z	aj	f	s	ad	c	c5
v	ar	au	ae	ab	f	c4
av	af	aq	a	x	p	c1
au	o	r	t	ai	p	c1
ad	f	a	ad	as	p	c1
ai	al	ae	af	aa	c	c5
w	ad	g	u	ad	c	c5
a	av	ai	x	av	f	c4
m	b	av	y	e	c	c5
ax	ao	an	k	b	p	c1
ak	f	h	as	ab	c	c5
ah	i	h	n	al	c	c5
o	ag	j	ac	ai	f	c4
aw	y	al	i	aq	p	c1
ai	i	t	al	o	f	c4
m	y	b	e	j	f	c4
i	ab	an	j	ax	b	c2
ah	aw	a	c	aa	c	c5
as	x	ab	k	ao	l	c3
n	r	f	k	z	c	c5
p	k	ao	e	ao	p	c1
ah	o	t	q	an	b	c2
ad	ar	aj	ac	a	b	c2
y	c	e	as	al	l	c3
e	z	a	f	ag	f	c4
o	z	aq	x	av	b	c2
w	as	f	aa	ad	f	c4
j	ac	i	j	b	p	c1
g	ag	o	ao	e	c	c5
ap	c	t	au	av	l	c3
an	ai	c	ad	m	l	c3
c	a	c	ap	aq	f	c4
d	an	t	ag	q	b	c2
an	f	g	l	ax	b	c2
aj	ah	w	au	z	c	c5
d	ap	z	ap	ai	l	c3
w	at	ah	o	e	c	c5
ai	aj	f	ag	q	c	c5
an	aq	p	aq	a	p	c1
t	ah	m	u	w	l	c3
t	ab	aw	q	at	p	c1
e	a	at	b	am	l	c3
aj	ag	am	g	an	l	c3
al	ac	ac	ab	av	l	c3
a	ak	ar	at	af	f	c4
ag	i	al	ab	ak	p	c1
z	an	ac	k	ab	l	c3
ap	t	ap	o	h	b	c2
d	l	ar	w	t	l	c3
h	as	at	z	ad	p	c1
a	ae	h	u	h	f	c4
af	ar	ao	t	k	c	c5
am	ao	am	m	q	p	c1
ab	u	g	ax	z	b	c2
q	am	l	d	a	p	c1
a	a	f	ax	o	p	c1
aa	af	am	ac	i	p	c1
r	r	aa	m	aa	p	c1
ag	aj	n	ae	z	f	c4
aw	i	au	af	x	p	c1
aq	p	a	an	m	c	c5
an	o	q	ad	x	p	c1
m	k	x	p	aj	c	c5
aw	r	aj	q	ae	l	c3
al	as	k	aj	ah	f	c4
i	d	aj	an	s	l	c3
u	f	k	c	q	b	c2
f	ax	at	ab	b	c	c5
j	z	h	ar	ap	l	c3
s	d	i	h	aw	f	c4
i	n	i	q	r	c	c5
o	y	a	p	aj	c	c5
al	af	l	p	ab	l	c3
aw	f	p	ai	f	b	c2
ax	ax	d	f	y	l	c3
aw	m	an	ae	v	c	c5
ap	av	y	ai	j	f	c4
u	q	g	ax	ar	f	c4
ae	p	ae	p	v	p	c1
av	ap	h	o	at	b	c2
ah	an	p	c	e	b	c2
al	p	s	av	an	f	c4
a	q	n	aj	au	c	c5
as	aj	s	ab	l	f	c4
ae	aq	n	ao	x	l	c3
o	w	y	x	n	c	c5
ak	aj	r	ar	ad	c	c5
am	n	af	i	x	p	c1
aj	t	b	l	ap	c	c5
an	c	q	v	b	b	c2
o	ak	aj	h	l	b	c2
ai	ao	l	ag	af	l	c3
av	aj	n	d	ak	p	c1
u	aj	m	ab	v	b	c2
y	ap	ax	s	l	b	c2
ah	e	av	ac	p	b	c2
ar	aa	ak	at	b	p	c1
i	ae	m	y	an	p	c1
an	af	av	af	a	c	c5
au	al	aw	x	o	f	c4
v	aq	p	at	l	b	c2
ak	at	w	as	ap	c	c5
w	ad	am	av	aw	p	c1
e	d	at	aa	ag	p	c1
ao	q	f	i	i	f	c4
o	ax	z	ax	ag	b	c2
ap	n	h	af	h	l	c3
i	k	at	m	ap	c	c5
ai	al	g	au	ag	l	c3
ag	aj	ax	s	aq	l	c3
al	u	c	ah	x	f	c4
k	aj	am	af	ah	l	c3
o	b	b	ac	t	f	c4
s	ax	ah	q	m	b	c2
n	a	aw	ae	f	c	c5
x	t	aw	al	r	b	c2
r	o	m	o	ag	f	c4
z	aw	d	x	aj	f	c4
u	f	ax	c	g	b	c2
au	m	e	ae	m	b	c2
ar	ap	l	ax	av	b	c2
r	e	an	g	p	p	c1
ax	ag	q	al	ar	f	c4
y	ai	al	r	ab	l	c3
as	c	ab	ab	aa	p	c1
z	aq	j	am	an	b	c2
aw	ag	ao	n	m	c	c5
q	q	p	c	ag	b	c2
u	ao	w	b	u	p	c1
aw	an	n	al	at	l	c3
n	v	i	r	ad	f	c4
a	h	v	ar	h	f	c4
aj	h	p	aa	d	c	c5
af	s	ap	af	ao	c	c5
b	ak	ab	ax	ak	f	c4
ag	al	ao	aw	e	f	c4
af	ap	ao	av	ax	b	c2
i	aa	as	aw	ag	p	c1
ar	s	ac	m	aj	l	c3
q	b	ap	ap	ag	c	c5
c	ao	ab	ag	q	l	c3
ar	ag	av	r	k	p	c1
am	ar	ag	at	z	p	c1
af	y	a	ag	g	b	c2
l	av	u	ac	ax	b	c2
w	an	v	z	ak	p	c1
am	at	ar	ar	aa	p	c1
l	aq	d	p	q	f	c4
ak	n	y	aw	ak	f	c4
j	z	b	j	aj	l	c3
al	o	ae	g	n	p	c1
ae	aj	f	t	ar	c	c5
w	aq	o	t	ak	c	c5
aw	x	aq	ad	c	f	c4
w	ad	aq	ag	ae	b	c2
aw	ag	j	j	at	l	c3
ad	am	i	ad	au	l	c3
n	aq	r	au	ak	b	c2
o	l	al	ae	n	c	c5
k	u	k	ak	ag	p	c1
k	al	ai	at	e	f	c4
k	e	e	j	p	l	c3
b	t	au	ag	au	p	c1
am	y	aj	ad	am	c	c5
v	c	c	am	aq	c	c5
at	at	u	ap	as	p	c1
aw	i	m	c	x	p	c1
r	t	l	n	ak	c	c5
al	ab	aa	at	h	b	c2
ar	aq	at	ag	h	p	c1
p	s	b	ak	d	f	c4
al	ag	x	aj	h	p	c1
aq	v	as	av	p	l	c3

(23.0%) c1 <- F=p
(19.4%) c3 <- F=l
(18.4%) c4 <- F=f
(17.8%) c2 <- F=b
(21.4%) c5 <- F=c
