10000 7
A	B	C	D	E	F	Class
mm	ace	ky	aab	rr	zu	c1
qi	aeb	adt	fv	r	ca	c5
u	xn	bd	aag	wd	agj	c4
aim	xn	akf	acw	aaf	aio	c4
aaw	aba	uo	adp	rl	dc	c2
aav	xn	abo	qe	ka	iz	c4
kt	aeb	afx	om	xc	alc	c5
aci	aeb	f	li	jv	acq	c5
is	xn	nx	aeg	afl	akg	c4
aea	aeb	bl	qk	dl	rg	c5
ze	aba	df	xz	aak	qm	c2
lj	xn	hd	ln	yy	og	c4
hl	ng	fh	adg	pg	aew	c3
uh	ace	abw	dh	akj	aid	c1
aiv	ace	un	xs	tf	agv	c1
cp	aba	jv	gk	ub	fi	c2
mk	ng	hc	afu	adk	yr	c3
ajw	ace	wq	agz	ud	vi	c1
mx	aba	bw	ez	yx	afd	c2
aei	aeb	cs	gh	vw	yd	c5
aac	aba	ny	agp	vy	s	c2
g	ace	ait	xw	to	aaa	c1
mr	ng	km	gl	akt	de	c3
ajg	aba	sn	xp	aih	ya	c2
wb	aeb	alb	abl	wn	zg	c5
gq	ace	p	wb	abc	akp	c1
kd	aba	aix	abj	pz	od	c2
cs	aeb	dr	aej	ug	ajj	c5
afj	ng	ajn	adm	vh	tz	c3
hk	ng	rx	xg	adv	wt	c3
aew	ace	aha	ua	wi	bd	c1
ih	ng	zz	aaw	ll	aeu	c3
hr	xn	aho	km	la	vt	c4
me	aeb	pu	aee	hn	qe	c5
kz	aba	alf	px	me	df	c2
vc	ng	yk	tp	fp	og	c3
yf	xn	t	afn	alb	adp	c4
fj	aeb	wm	qp	jv	h	c5
ags	aeb	agw	yc	aif	akm	c5
sl	aba	aah	d	aan	alj	c2
nw	aeb	kv	uh	wz	aix	c5
tj	aeb	abi	nc	abv	aft	c5
yj	aba	km	kp	pw	k	c2
lt	aba	tu	xl	zo	cf	c2
yl	xn	aar	au	mp	adl	c4
fl	aba	vm	hk	qq	fl	c2
aca	ng	abg	aej	kx	nt	c3
qq	xn	agy	ve	hp	adt	c4
aim	ace	sp	wz	adq	vy	c1
aap	aba	aku	m	aks	ahp	c2
ab	aeb	ii	yl	wc	bu	c5
za	ace	rg	acu	iy	iz	c1
ja	xn	wy	aax	um	uv	c4
oc	aba	oq	vy	fc	aa	c2
agj	aeb	t	iz	oh	rj	c5
aaj	ng	yw	c	jh	aib	c3
aip	ng	ia	zq	ib	dp	c3
aeg	xn	rj	lh	yp	agq	c4
akd	aeb	aii	zz	el	cs	c5
os	aeb	ako	ag	lj	nx	c5
li	xn	bi	abl	ng	agd	c4
gs	ng	yc	vj	qy	jc	c3
hc	aeb	ty	oh	sz	vf	c5
or	ace	bk	agr	od	of	c1
ahz	ace	bg	rh	afg	ajb	c1
hy	xn	abo	ip	ahj	aee	c4
mu	xn	n	bb	aer	lq	c4
nr	aeb	tz	ql	all	yp	c5
aej	aba	bm	go	agf	nw	c2
li	ace	sp	tb	zu	rj	c1
yl	aba	vt	ha	add	ag	c2
fj	aeb	cz	zi	fb	ahb	c5
np	aeb	gp	oe	aie	alg	c5
rg	ace	yn	ajr	jj	bu	c1
aft	aeb	aw	aeb	je	pc	c5
xk	ace	xw	nc	uj	hz	c1
adg	ace	zx	wf	ns	agt	c1
rm	aba	yq	agb	ik	an	c2
ve	aba	mk	ajq	gr	qo	c2
acv	xn	ky	ahy	qb	nl	c4
zd	ace	az	ec	sn	aig	c1
aik	ng	ik	za	abv	aa	c3
qa	ace	wa	zt	lb	wg	c1
dx	ng	sv	ez	ms	dv	c3
afj	aba	yv	xg	bo	ahk	c2
bs	aba	tn	ags	ajv	agd	c2
rs	ng	zl	agk	sr	xc	c3
afq	xn	lw	ajc	qt	adu	c4
bz	aba	kw	wr	ajo	aim	c2
aaj	ng	ajk	we	acr	jk	c3
ce	aba	aas	afn	aas	aiy	c2
dv	ace	agl	oh	je	jl	c1
aiw	ace	bq	ka	afg	agc	c1
agl	ace	ajk	ajd	aga	xj	c1
agq	ace	acf	pr	dx	ahz	c1
ax	aba	dj	uw	az	alg	c2
gt	aeb	ni	ta	su	akq	c5
aks	aeb	xy	cc	ad	ajx	c5
bm	aba	fl	alc	tp	yw	c2
mn	aeb	oo	qz	a	wl	c5
ek	xn	jk	eg	gg	em	c4
yg	aeb	bk	ax	wo	o	c5
ahy	aeb	ut	gi	ex	va	c5
wc	ng	zl	if	ca	afj	c3
ca	aeb	mw	kd	ct	hw	c5
es	xn	wy	ahw	akl	aen	c4
fe	ng	ek	yw	b	ald	c3
le	aba	md	ady	agk	oe	c2
aby	aeb	ei	lm	ax	bg	c5
abl	xn	ze	air	fs	afu	c4
acr	aba	to	gb	ahx	ajq	c2
rc	xn	akc	fx	pe	xi	c4
ia	ace	aiw	ki	akp	yi	c1
ju	ng	act	jr	yb	afo	c3
akk	ng	iv	uy	ne	tn	c3
zs	ace	nr	akk	fe	mh	c1
t	ng	adj	wl	ub	vl	c3
cj	aeb	ut	tf	pr	adr	c5
yu	ng	nh	sw	pq	q	c3
bp	aeb	r	afz	sa	aan	c5
tj	ng	ads	gx	adl	akw	c3
zi	ace	vr	vy	d	bh	c1
zy	ng	ds	acz	ajh	mi	c3
ek	xn	em	wg	zt	ep	c4
va	xn	po	kj	pd	fd	c4
aby	xn	aab	wf	rs	uq	c4
ajd	aeb	ahx	xo	rg	sj	c5
jj	aba	ahf	aid	li	so	c2
ys	xn	ada	agp	bw	lm	c4
ce	xn	agi	te	ek	mx	c4
vu	ace	po	te	aiz	ky	c1
abq	aeb	ts	bf	hk	ei	c5
xn	aeb	aki	ajd	qw	re	c5
abh	ace	uk	ajj	oq	yg	c1
yp	ng	qd	ta	cu	rj	c3
lu	ng	sv	afk	afy	aep	c3
vt	ace	akq	aks	agb	abv	c1
ym	xn	lw	vb	nu	kv	c4
yi	ng	zx	ub	bz	ds	c3
gk	xn	wd	mj	aeo	adb	c4
afw	aba	nc	ajz	qq	iu	c2
ju	aba	vc	ahd	ako	yu	c2
en	ng	ei	c	wu	aer	c3
vb	aeb	ca	ij	aas	jp	c5
kn	xn	yy	ua	cu	aib	c4
jf	ace	aap	bt	db	se	c1
afg	aba	ajc	ed	afe	vv	c2
abx	aeb	ajc	to	cz	tr	c5
aaw	aba	ajy	aft	vl	ga	c2
aeh	ng	ev	be	aij	ap	c3
bf	aba	jt	iz	adj	ajx	c2
abb	ng	ad	np	qq	ix	c3
akp	aba	mg	ahk	agq	fc	c2
adc	aba	xd	sx	qr	px	c2
aab	aba	ju	ug	d	ae	c2
pk	xn	nr	hz	vx	pq	c4
pv	aba	nd	qz	uv	aab	c2
qn	ace	hg	xg	um	adm	c1
aaj	xn	ajs	rh	jr	abt	c4
un	ace	bc	ez	hj	ry	c1
aaa	ace	lc	ap	aao	cj	c1
vb	aeb	aix	hc	fs	aie	c5
ajg	ng	jy	se	afe	gp	c3
alh	ace	nu	mv	ado	ph	c1
dq	ace	aey	au	ox	gx	c1
ah	aeb	ov	aku	aba	aim	c5
aeb	ace	pv	uc	it	pe	c1
vc	aeb	rw	me	g	aey	c5
nx	ace	mi	vz	vf	mf	c1
ne	aba	ahq	tk	pw	mg	c2
ld	aba	ald	ajh	rm	rf	c2
fh	ng	nw	uk	je	ci	c3
lc	ace	mq	aif	adn	jc	c1
ah	ace	wu	js	ajy	akx	c1
ic	ng	afl	ahf	vx	ei	c3
acg	aba	av	bp	adl	ip	c2
dd	aba	aba	fn	qw	to	c2
xp	ng	ra	pt	add	ep	c3
td	aba	aq	abn	ma	ur	c2
aat	aeb	zl	ajx	rf	ago	c5
agq	aeb	kh	vv	ais	aep	c5
adq	xn	dy	rl	yv	ahk	c4
cq	ng	s	dw	up	wz	c3
ady	aba	hu	dx	jq	pp	c2
ne	aba	hf	aim	n	un	c2
aie	aeb	sk	tl	vr	aeo	c5
pd	aba	bp	gb	fo	mr	c2
sg	aeb	ne	dn	ml	mc	c5
ke	ng	ve	agp	ay	df	c3
tr	aeb	pm	gx	dj	ff	c5
yk	aba	nt	aft	l	hr	c2
vz	aeb	st	ym	vp	rd	c5
qb	ng	su	qh	ach	kl	c3
afa	aba	abb	vg	qx	nn	c2
ks	aeb	nk	yz	gu	jc	c5
aeu	ace	oa	ajg	ee	mk	c1
agl	ace	fo	acn	lt	zv	c1
ra	ng	ais	dj	lk	wf	c3
oi	ng	qm	mz	gl	yz	c3
acf	ace	hp	da	af	qn	c1
nz	aeb	aid	lv	kr	uf	c5
am	aeb	lg	os	mc	aac	c5
wx	aba	pu	zo	hx	aaw	c2
nz	aeb	md	ro	abn	dw	c5
dw	aeb	aib	xx	su	ya	c5
nx	xn	nb	acv	gi	v	c4
dd	ace	ar	abk	agq	aal	c1
tj	xn	ajn	cp	abl	yp	c4
ajt	ace	aiq	aeb	aki	nx	c1
fh	xn	afu	ae	sy	zw	c4
gq	aeb	t	df	aat	mn	c5
aau	xn	gx	hc	zo	vg	c4
gg	aeb	ns	acm	lo	ais	c5
we	xn	agb	ti	az	rr	c4
io	ace	abr	qa	dp	acl	c1
vz	ng	wj	ir	kt	ec	c3
fq	ace	ail	abn	gw	sj	c1
hy	aeb	of	eu	lg	ke	c5
ng	aba	agl	fi	gu	uw	c2
ajh	aeb	fc	jc	yn	agv	c5
j	aba	ba	ng	fo	hs	c2
akn	ace	aec	pj	agh	ym	c1
cz	ng	fa	ef	lx	afs	c3
pf	ng	qx	jl	qn	dy	c3
bl	aeb	u	aci	kz	ca	c5
adx	ng	akh	oy	hr	d	c3
ze	aba	acd	gt	afb	sv	c2
av	xn	xt	abn	ahp	zl	c4
aan	xn	sn	e	sc	jc	c4
fi	aba	afd	hv	gn	bi	c2
agt	aba	oo	jl	jf	ahx	c2
cb	ng	ajz	aez	oz	aiv	c3
ue	ace	wp	aab	agm	wj	c1
bz	xn	wu	ra	vj	ln	c4
wc	aeb	lk	xe	agh	nj	c5
adj	aba	agx	adb	aiu	afh	c2
qh	aba	is	hy	abe	dc	c2
ahb	aba	ad	lk	xk	fs	c2
ay	ng	b	vn	ts	afu	c3
ali	ng	abx	ge	agh	ahk	c3
mu	aeb	ly	aac	xq	vr	c5
ajv	xn	ud	lq	alf	aks	c4
yk	xn	we	st	agp	iy	c4
ez	ace	vi	uk	xj	ox	c1
yr	aeb	fv	aii	xi	sw	c5
dn	ng	wc	uy	ko	ix	c3
kq	ace	aas	vo	ako	aag	c1
aaq	ace	gl	fj	lp	pf	c1
oi	ng	ov	iv	rh	vv	c3
adm	ng	uy	ww	vh	fa	c3
zc	aba	mm	re	ag	kr	c2
rr	ace	adg	adk	gh	qt	c1
ajn	aba	ta	oz	ov	og	c2
abb	ace	afu	om	jq	aha	c1
cu	aba	gd	aar	mb	md	c2
rq	ace	oh	rg	nb	ain	c1
aie	ace	afd	ez	nz	cx	c1
dt	aeb	fh	g	bs	afx	c5
jo	aba	hp	ze	py	vn	c2
uj	ng	abq	yf	la	sk	c3
ax	ng	agd	rt	dq	qc	c3
ais	xn	cx	aft	xj	tf	c4
vi	aeb	du	ajr	nn	qn	c5
sz	xn	cg	afx	hu	ij	c4
pg	ace	j	aha	wl	ada	c1
jk	aeb	bw	qb	wg	aeb	c5
aax	aeb	abc	as	pz	bx	c5
me	aba	eo	dp	bc	dx	c2
ba	ace	pq	ui	is	abk	c1
jy	ng	acp	aew	adc	cb	c3
acz	aba	acq	ek	bx	aak	c2
aez	ace	aan	zj	qc	lk	c1
lc	xn	bl	el	gx	jy	c4
s	aba	hq	ad	abb	aeq	c2
kq	aeb	mt	agd	gh	aif	c5
abe	ng	mw	air	tz	wp	c3
iu	xn	aes	ahm	aax	ug	c4
afa	aeb	ol	aan	pl	aad	c5
hx	ng	abp	za	abk	bd	c3
aef	ace	acd	u	oy	cb	c1
aff	aba	jv	nx	wa	qf	c2
k	xn	cz	aeu	abv	au	c4
wo	aeb	yj	uf	hj	ahl	c5
fe	aba	db	pb	lo	ws	c2
wa	aeb	akz	acw	l	air	c5
aib	ng	acl	ga	mj	lu	c3
ar	ng	aew	xp	ec	vo	c3
ch	xn	sv	ajt	ib	wg	c4
as	aba	acq	as	bo	ads	c2
yk	aeb	un	pu	bw	li	c5
ew	xn	gv	nb	wy	gg	c4
s	aeb	qh	ks	jp	jp	c5
iz	aba	jn	an	na	ws	c2
ajt	ng	uf	jl	uw	ahv	c3
cv	ace	qn	adp	ih	wg	c1
ahr	aeb	yo	ok	agr	acl	c5
hg	ng	abb	xn	fv	wy	c3
up	aba	ag	dl	xw	abr	c2
hp	aba	fj	ma	uu	av	c2
aap	aba	ly	mu	aal	bd	c2
kx	ace	ed	ye	adt	afg	c1
qg	xn	nv	aiv	ie	adz	c4
uy	aba	ns	wm	la	acm	c2
aeh	ace	rs	az	jp	ix	c1
gh	xn	qp	vk	aie	ps	c4
ot	xn	ahf	afu	afl	wp	c4
vs	aba	br	eb	gb	oi	c2
qf	ace	sk	zr	alg	aeh	c1
fu	aeb	i	aec	abj	aif	c5
vt	xn	at	wj	za	agn	c4
ey	ace	ali	yz	acn	xr	c1
ts	aba	aft	nv	fo	ajp	c2
ba	ng	ui	ro	fc	vc	c3
ol	ace	pj	ge	sn	cb	c1
acv	ace	wk	adm	yr	akw	c1
ae	ng	ip	akp	aax	kc	c3
ah	aeb	ahv	xf	aka	ji	c5
an	aeb	adw	akp	xn	dq	c5
rq	xn	ahr	abm	iy	mj	c4
zd	aeb	dv	akp	hg	eo	c5
ut	xn	up	acu	ci	afy	c4
aka	ace	tv	sg	ago	kw	c1
yz	xn	acd	ajx	id	m	c4
acc	ng	ui	py	aec	hv	c3
cn	xn	ce	mn	ahe	oz	c4
iv	xn	ace	xj	adj	vp	c4
akc	ng	akf	aho	vj	me	c3
ps	ace	vt	li	ra	aix	c1
aez	xn	aae	ld	f	vz	c4
nk	ace	aeq	fk	hu	nb	c1
jq	aeb	oe	pw	aje	o	c5
aam	xn	aji	x	zb	ahc	c4
io	aeb	lk	aao	aih	wd	c5
we	aba	ail	lr	adf	zg	c2
agb	xn	aei	lz	pw	ahj	c4
tc	aba	ns	wr	ra	sl	c2
aai	aeb	jg	af	cg	ea	c5
vt	aba	aky	gw	cx	adc	c2
ux	aba	qr	yk	abj	p	c2
akw	aeb	aex	mj	pa	py	c5
qj	ng	jr	abt	bo	pp	c3
le	aeb	td	pa	db	co	c5
agx	ng	acr	pj	bb	hp	c3
lc	xn	yb	yl	agc	ve	c4
wi	aeb	ss	am	sb	ahi	c5
cs	aba	hx	bm	vs	wd	c2
py	xn	kj	alk	ec	aix	c4
aki	aba	hw	qy	akm	ij	c2
zh	ng	qc	us	aiv	of	c3
ahr	aba	acj	hj	b	uh	c2
xd	aba	aan	ahj	qd	afo	c2
uz	aeb	qf	dd	ak	ve	c5
oh	aba	fd	ach	qx	rf	c2
dq	ng	w	abz	ju	xz	c3
gl	aeb	es	tm	yi	to	c5
kv	ng	tq	th	ku	pb	c3
pw	aeb	pj	ade	qy	sh	c5
kq	ng	aar	qg	sg	acc	c3
ff	xn	aet	je	adh	de	c4
iz	ng	acp	aeb	li	qj	c3
ow	aba	aas	qd	afq	wm	c2
aka	aeb	jq	aco	aec	akw	c5
wo	ace	ala	qa	ail	gz	c1
t	ace	lx	us	cw	re	c1
eo	aeb	jn	gn	ap	kn	c5
ph	aeb	zg	fv	pi	is	c5
adm	aba	hh	aau	wk	uy	c2
ya	ng	mz	aih	ali	cw	c3
uy	ng	gn	cj	ahc	aip	c3
pt	aba	zt	hx	abw	aba	c2
agz	xn	abi	aei	sg	jq	c4
bv	aba	rc	vx	aad	ca	c2
ca	ace	afv	adj	aad	ru	c1
hc	aba	tv	sr	acc	sh	c2
to	ng	wa	db	adg	ow	c3
kj	ng	dw	aak	ahw	vx	c3
v	xn	bu	jk	f	oa	c4
yf	xn	ht	fv	akf	alb	c4
tn	ng	zv	ma	ake	tr	c3
u	ace	fh	ec	akx	bl	c1
ahg	aba	nr	akf	wr	ahs	c2
sr	ace	ew	aik	ub	ce	c1
be	xn	xa	acq	gd	zy	c4
rm	ng	nl	adz	ny	il	c3
agk	ace	aad	vz	vt	agz	c1
tl	xn	kb	gf	akf	fs	c4
tc	ace	ry	az	pw	iy	c1
gg	ng	ql	akq	da	c	c3
ay	aeb	rw	zm	el	fc	c5
om	aba	aeq	bk	abf	aaf	c2
aky	aeb	kl	yc	tr	aa	c5
sn	aba	agq	vd	cf	to	c2
afl	xn	abk	ok	ajy	aiv	c4
kn	aba	mb	pr	cu	adb	c2
b	ace	bz	g	wm	aii	c1
adb	ng	hv	ahn	zo	rv	c3
fq	xn	qg	wd	ir	oz	c4
rp	ace	fh	au	agx	afy	c1
ik	ng	ahx	aka	wz	zm	c3
qn	aeb	gy	eu	sf	zw	c5
eu	aeb	ot	hg	agr	ze	c5
nk	ng	ajr	abr	xr	zk	c3
aek	ng	rh	si	aiv	tk	c3
jz	ace	afk	mz	nv	kv	c1
om	xn	ps	ace	mv	abm	c4
aik	xn	uv	ly	aim	ade	c4
abq	xn	jg	wu	el	lu	c4
dv	aba	p	hr	jo	qm	c2
akx	ace	hj	o	kp	py	c1
ye	aba	ic	sn	ain	w	c2
aca	aeb	aab	kg	yk	tq	c5
aee	xn	wo	cw	us	io	c4
acl	aba	cz	le	m	kp	c2
yj	ace	sb	ago	lq	eg	c1
fk	ng	wg	yi	ya	abd	c3
ry	aba	zb	me	act	ake	c2
zb	aeb	yv	wh	kt	yi	c5
ch	xn	aex	aj	yd	ali	c4
yx	ng	alf	w	afy	ahd	c3
mq	aba	vs	ub	agn	jj	c2
zc	xn	ald	abk	pz	ho	c4
kg	ng	vu	uk	ct	yp	c3
aaw	aba	ox	ws	agl	ed	c2
ms	aeb	fz	l	b	zn	c5
acw	xn	uk	xz	nm	l	c4
alj	xn	ju	wt	ts	ny	c4
ed	xn	aea	aki	ajs	cs	c4
sk	aba	uk	aaz	le	t	c2
we	ng	abo	ox	go	hz	c3
tv	xn	nn	ajy	cr	mc	c4
ada	aeb	yh	cf	gt	rc	c5
aex	ace	mr	gn	aff	dz	c1
afy	ace	qg	aap	abv	pq	c1
ia	xn	aam	to	ed	ak	c4
afw	xn	lu	br	rq	adc	c4
aci	ace	wd	hd	afj	st	c1
eu	ng	rw	jc	agl	nx	c3
gd	ace	ahu	akh	q	zl	c1
ajj	ace	ie	oo	acp	tq	c1
aiu	aba	dv	jx	hz	ahc	c2
ka	xn	akl	qg	abp	im	c4
uy	xn	ei	ho	uc	lb	c4
mj	ace	dt	cb	xq	pq	c1
tu	aba	vf	w	za	ahx	c2
afu	ng	ho	afv	dy	y	c3
uv	ace	lh	dw	ig	mb	c1
ado	ng	mb	aey	pp	eb	c3
agw	aba	ej	vl	nt	vy	c2
aax	ng	zf	mu	rf	jk	c3
io	aba	xq	ha	mh	ri	c2
nd	ng	je	abr	agj	ahy	c3
aez	xn	nc	nz	kv	age	c4
ei	aeb	oi	adm	ef	afi	c5
qm	ng	aaz	vt	nu	wp	c3
yp	aeb	jf	hk	hd	cg	c5
vy	ng	ajv	aea	adt	tg	c3
ws	aeb	ij	cl	aec	zw	c5
acq	ng	a	vg	po	ads	c3
om	aeb	e	aao	ng	sh	c5
abv	aba	gf	fk	uj	aku	c2
aw	aba	vy	yb	zv	ns	c2
fy	aeb	dg	akw	fl	oj	c5
ch	xn	aal	aco	li	o	c4
sl	aba	akr	ack	ahq	wk	c2
uq	ng	by	aik	agd	adl	c3
hd	ng	aih	ty	jw	uk	c3
jg	xn	co	aq	qc	gf	c4
ok	aba	dm	ye	dm	fr	c2
xz	aeb	tm	se	px	tt	c5
qk	aeb	kz	agr	to	ada	c5
ie	xn	ajz	fo	rw	xr	c4
bw	ng	qe	yw	ald	yz	c3
b	xn	pz	fc	aev	ajf	c4
pv	xn	fk	cr	ek	ky	c4
p	aeb	ek	by	afj	cw	c5
an	xn	wd	js	ahu	ui	c4
cp	aeb	ks	fl	wc	xr	c5
eh	xn	ke	lo	yj	vz	c4
uo	xn	lx	akj	ww	rz	c4
lh	aba	en	cx	rg	sw	c2
ks	ng	ss	xw	tw	po	c3
uv	ace	rw	afw	da	nr	c1
aeh	aba	hp	zj	aji	do	c2
bh	aba	alc	js	yo	abm	c2
adq	ng	ny	acr	au	us	c3
ye	xn	aik	zu	td	wo	c4
ajq	ng	qf	aic	agm	agb	c3
gf	aeb	aij	ul	zx	df	c5
o	aeb	aha	ajy	yg	mb	c5
aim	aeb	ajd	akx	hz	ch	c5
bw	aba	ui	act	nw	ahz	c2
fh	aba	as	dx	zc	aig	c2
jm	ace	qz	vk	tf	afj	c1
ki	xn	uz	ahj	kg	au	c4
mh	ace	dl	sf	ez	ajc	c1
ahg	xn	aag	du	ft	dh	c4
yw	aba	ue	be	ajn	mc	c2
st	ace	zh	qg	aeo	dk	c1
gr	ng	tx	io	ahl	aau	c3
akc	xn	ajd	ahs	adb	df	c4
aar	aba	ahc	ln	ff	ff	c2
ajw	aba	xy	mo	wv	akp	c2
mf	ng	uy	bk	zz	hh	c3
ff	aeb	vf	oj	aaq	hl	c5
ol	aba	nq	af	aje	aex	c2
ads	ace	ba	aiw	s	nj	c1
re	aeb	aaw	aaz	ty	aaf	c5
nr	xn	sq	go	vv	rz	c4
vo	xn	hb	fc	abu	acw	c4
kn	aba	n	lt	kc	ve	c2
pe	aeb	uh	ep	aar	hb	c5
ajz	ace	gr	ez	abn	sw	c1
fa	ace	ace	ow	vy	zt	c1
by	ace	yq	ui	afy	abj	c1
io	ace	bw	qk	kx	un	c1
pc	ng	nj	rk	vo	mv	c3
alf	aba	bb	bb	pc	jp	c2
gz	aba	ajt	sb	ng	em	c2
acb	xn	ev	dd	rl	ajl	c4
mc	ng	jb	aey	bo	lx	c3
lx	aba	du	afm	xe	jz	c2
nq	aba	bx	add	sx	qe	c2
mv	xn	akm	ex	aeb	agc	c4
lg	xn	ct	f	vr	wf	c4
ag	ace	ff	bw	afv	aht	c1
aik	aeb	ajw	oe	ff	aag	c5
cl	xn	act	rq	ch	xz	c4
z	ng	uv	ajc	us	ot	c3
kj	xn	aes	na	xb	uv	c4
fm	aba	hx	cj	ov	kr	c2
aea	ng	zm	adh	ml	tc	c3
xy	ace	ada	se	mz	hl	c1
abg	aba	qd	dg	ly	dc	c2
adu	ace	bj	fj	aao	kr	c1
dx	aeb	rs	abs	ala	oc	c5
adr	aeb	akr	ajg	qa	mu	c5
dn	ng	afh	rl	akr	jo	c3
pw	xn	sq	sc	ik	oj	c4
ez	aba	sl	pu	ala	pi	c2
uz	ng	jt	aem	gk	ky	c3
yf	aba	uc	ahy	uq	ia	c2
ajr	ace	alb	yw	abd	aw	c1
aie	aeb	bf	aep	ags	aav	c5
ahw	aba	ahu	c	gz	wf	c2
agz	aba	zm	ee	nt	afg	c2
dq	ng	zr	xq	abb	agl	c3
aci	ace	agn	ahp	bq	oi	c1
py	aeb	adq	adh	acd	uy	c5
agx	aeb	lq	ahe	ln	pv	c5
qo	ace	wi	nj	agc	aiv	c1
ka	ace	og	aia	ahm	tf	c1
vl	aba	abr	hl	fy	afz	c2
